case_id,DSC_1,HD_1,HD95_1,ASSD_1,RVE_1,NSD_1,NLesions_1,MissedLesions_1
r004s008,0.846,5.66,1.0,0.31,0.0883,0.9535,1,0
r004s009,0.9399,7.28,2.0,0.47,0.0476,0.8951,1,0
r004s010,0.8576,9.27,2.24,0.59,0.1524,0.8471,2,1
r004s011,0.8736,22.58,3.16,0.76,0.1483,0.8384,1,0
r004s012,0.6868,30.15,6.63,1.25,0.8468,0.7084,3,0
r004s013,0.919,8.0,1.41,0.43,0.0853,0.9251,1,0
r004s014,0.8814,7.62,2.45,0.53,0.1962,0.8795,1,0
r004s015,0.8819,15.0,3.61,0.95,0.1342,0.7872,1,0
r004s016,0.8337,41.53,1.41,0.67,0.2962,0.9258,3,1
r004s017,0.9028,15.3,1.41,0.42,0.0737,0.9396,1,0
r004s018,0.8047,28.46,11.29,1.99,0.1493,0.6576,2,0
r004s019,0.843,47.37,31.34,2.89,0.2371,0.8243,4,3
r004s020,0.9202,12.04,3.0,0.76,0.1014,0.8285,1,0
r004s021,0.9022,31.59,2.24,0.86,0.0159,0.8941,2,0
r004s022,0.9442,5.48,1.41,0.37,0.0288,0.9408,1,0
r004s023,0.7713,24.06,6.48,1.32,0.3552,0.7472,1,0
r004s024,0.8701,12.21,3.74,0.86,0.1128,0.812,1,0
r004s025,0.4192,44.33,8.94,2.9,2.2898,0.4535,4,2
r004s026,0.8739,20.88,6.08,1.05,0.0923,0.8238,1,0
r004s027,0.8981,21.0,5.1,1.17,0.162,0.7394,1,0
r004s028,0.8241,17.83,5.83,1.4,0.1006,0.6719,1,0
r004s029,0.8508,22.46,3.03,0.78,0.0973,0.7732,3,1
r004s030,0.9165,19.52,2.45,0.64,0.0376,0.8572,1,0
r004s031,0.8401,13.49,2.24,0.56,0.2254,0.8907,2,0
r004s032,0.9292,37.91,1.41,0.46,0.0977,0.9252,2,1
r004s033,0.93,11.36,3.0,0.87,0.0749,0.7566,1,0
r004s034,0.9348,4.9,1.0,0.31,0.0591,0.9644,1,0
r004s035,0.9241,9.7,3.0,0.76,0.0905,0.8133,1,0
r004s036,0.5828,10.34,5.1,1.43,0.4865,0.6009,4,0
r004s037,0.8871,9.49,2.24,0.62,0.1174,0.8739,1,0
r005s015,0.899,19.21,4.24,1.37,0.006,0.6277,1,0
r005s016,0.8315,4.47,1.0,0.31,0.1814,0.9726,1,0
r005s025,0.9189,8.31,2.24,0.71,0.0616,0.812,1,0
r005s026,0.8148,1.73,1.0,0.21,0.16,0.9706,1,0
r005s030,0.9392,5.74,1.73,0.48,0.0333,0.9044,1,0
r005s031,0.898,16.4,2.45,0.77,0.0083,0.8183,3,0
r005s034,0.7459,27.0,4.24,1.28,0.391,0.6899,2,0
r005s044,0.877,1.73,1.0,0.17,0.0602,0.9949,1,0
r005s045,0.7741,5.2,1.41,0.41,0.3102,0.9348,2,0
r005s046,0.925,10.2,2.24,0.59,0.0082,0.8838,1,0
r005s047,0.8522,2.45,1.0,0.27,0.2214,0.9572,1,0
r005s048,0.8098,6.48,5.3,0.69,0.0633,0.887,1,0
r005s049,0.8586,7.48,2.24,0.62,0.0576,0.8434,2,0
r005s054,0.8249,23.35,2.0,0.62,0.0333,0.9017,2,0
r005s055,0.8446,2.24,1.0,0.22,0.0919,0.9798,1,0
r005s056,0.795,5.92,2.45,0.57,0.3272,0.8748,1,0
r005s057,0.8866,2.83,1.0,0.28,0.0711,0.9708,1,0
r005s058,0.9069,4.36,1.41,0.4,0.0112,0.9316,1,0
r005s059,0.8939,8.77,2.24,0.63,0.0613,0.8596,2,0
r005s068,0.9054,5.83,2.24,0.7,0.1093,0.823,1,0
r005s069,0.7243,15.65,8.06,1.19,0.4505,0.8302,4,0
r005s070,0.815,1.73,1.0,0.29,0.1585,0.9826,1,0
r005s071,0.8489,2.24,1.0,0.25,0.1474,0.9562,1,0
r005s072,0.7078,4.69,3.32,0.76,0.3746,0.7548,1,0
r005s073,0.8951,2.24,1.0,0.17,0.0352,0.992,1,0
r005s074,0.9311,8.6,2.0,0.66,0.078,0.8472,2,0
r005s075,0.7279,15.94,9.22,2.02,0.063,0.6342,1,0
r005s076,0.6131,15.36,4.0,0.94,0.7252,0.7826,6,0
r005s077,0.8091,3.0,1.08,0.33,0.1047,0.9499,1,0
r005s078,0.8143,2.0,1.0,0.3,0.3882,0.9919,1,0
r005s079,0.9089,8.06,2.24,0.56,0.0814,0.8753,1,0
r005s080,0.8105,16.09,9.0,1.21,0.1974,0.8709,2,0
r005s081,0.8706,9.9,2.24,0.57,0.149,0.9003,1,0
r005s082,0.5352,16.16,7.82,1.9,0.8456,0.657,4,1
r005s084,0.8952,3.0,1.0,0.2,0.1023,0.9854,1,0
r005s085,0.7063,35.01,6.26,1.21,0.5653,0.8047,6,1
r005s086,0.5994,87.28,44.49,6.52,0.9311,0.6567,4,3
r008s001,0.5921,9.17,5.36,1.24,0.5337,0.4828,1,0
r008s002,0.7292,3.15,1.65,0.51,0.2789,0.8711,1,0
r008s003,0.2205,12.97,9.15,2.95,0.6609,0.2633,1,0
r008s004,0.0,,,,1.0,,2,2
r008s006,0.5304,3.24,2.02,0.52,0.5969,0.7862,1,0
r008s007,0.6291,4.05,2.17,0.63,0.5174,0.7475,1,0
r008s008,0.4761,9.83,6.13,1.71,0.6846,0.33,1,0
r009s001,0.6469,54.16,42.45,5.85,0.104,0.6349,2,0
r009s002,0.8634,1.73,1.0,0.23,0.1976,0.9736,1,0
r009s003,0.6736,8.12,6.0,2.21,0.3552,0.3993,3,2
r009s004,0.8393,40.4,5.2,1.61,0.1672,0.5576,3,2
r009s005,0.7861,70.44,54.98,4.31,0.239,0.864,3,1
r009s006,0.3307,54.46,40.12,8.01,2.7102,0.3812,4,1
r009s007,0.7896,57.34,7.62,2.6,0.4558,0.4408,4,2
r009s008,0.4933,21.12,14.73,3.07,0.1083,0.5747,8,2
r009s009,0.8058,36.67,4.69,1.82,0.1232,0.7501,3,1
r009s010,0.9123,1.41,1.0,0.25,0.1845,0.9928,1,0
r009s011,0.6852,17.2,10.2,1.53,0.4634,0.7652,3,0
r009s012,0.7545,2.45,1.41,0.35,0.2114,0.9337,2,0
r009s013,0.513,32.66,31.27,8.57,0.3762,0.5855,3,1
r009s014,0.7632,4.36,2.24,0.5,0.2209,0.834,2,0
r009s015,0.4693,5.2,4.13,0.84,0.6838,0.6415,2,0
r009s016,0.0957,6.71,5.46,1.96,7.3231,0.2849,1,0
r009s017,0.4388,60.15,57.1,10.48,0.591,0.4571,7,5
r009s018,0.7391,2.45,1.41,0.43,0.2955,0.8964,1,0
r009s020,0.8108,8.25,1.41,0.36,0.2225,0.9326,2,0
r009s021,0.6884,72.36,26.54,4.06,0.1467,0.6965,3,2
r009s022,0.8529,70.1,4.58,1.37,0.2091,0.6577,2,1
r009s024,0.3959,66.96,40.61,9.25,0.1569,0.3325,8,6
r009s025,0.5271,7.21,5.1,1.04,0.5995,0.6018,1,0
r009s026,0.7429,1.41,1.0,0.28,0.2051,0.9552,1,0
r009s027,0.6324,5.2,2.24,0.54,0.4545,0.8341,2,1
r009s028,0.7568,2.24,1.41,0.33,0.413,0.9163,1,0
r009s029,0.763,20.2,4.58,1.04,0.3497,0.686,2,0
r009s030,0.1375,39.82,36.07,11.97,0.5,0.2073,4,2
r009s031,0.6447,2.24,1.41,0.42,0.495,0.8843,1,0
r009s032,0.5894,54.92,46.54,5.71,0.2877,0.6348,8,4
r009s034,0.5508,12.73,6.4,1.55,0.3169,0.6362,4,2
r009s035,0.6,1.41,1.06,0.31,0.5714,0.9474,1,0
r009s036,0.8504,2.24,1.0,0.22,0.2238,0.9514,1,0
r009s037,0.4815,61.73,16.28,3.67,0.8191,0.5556,5,1
r009s038,0.5378,8.6,6.4,1.41,1.1068,0.6483,1,0
r009s039,0.6415,2.24,1.41,0.35,1.1176,0.86,1,0
r009s040,0.7139,45.32,10.25,2.54,0.0078,0.572,3,2
r009s041,0.7142,7.35,4.24,0.89,0.2745,0.7519,1,0
r009s043,0.8338,5.83,1.41,0.33,0.1814,0.9454,2,0
r009s044,0.6872,43.69,8.5,1.77,0.2967,0.6412,13,7
r009s045,0.8715,2.24,1.0,0.26,0.1853,0.9742,1,0
r009s046,0.7503,38.01,3.57,1.21,0.2868,0.8134,3,0
r009s048,0.7767,2.0,1.0,0.36,0.0491,0.9551,1,0
r009s049,0.6586,26.85,18.14,2.91,0.3285,0.5457,5,0
r009s050,0.2853,66.99,61.54,15.22,0.6993,0.317,4,3
r009s051,0.73,22.11,3.74,1.29,0.3067,0.822,5,1
r009s052,0.7967,17.52,5.72,1.12,0.1672,0.8108,4,0
r009s053,0.6006,11.58,9.27,1.58,0.4237,0.6773,4,0
r009s054,0.839,2.45,1.0,0.3,0.2167,0.9537,1,0
r009s055,0.2748,27.37,20.47,4.72,0.8337,0.2405,1,0
r009s056,0.6082,4.69,3.15,0.53,0.5385,0.821,3,0
r009s057,0.9306,1.0,1.0,0.09,0.0541,1.0,1,0
r009s058,0.6355,56.73,53.06,5.23,0.5275,0.7261,4,2
r009s060,0.2806,70.26,66.76,21.98,0.4469,0.3634,5,3
r009s061,0.6256,46.85,42.65,5.96,0.0,0.743,2,0
r009s062,0.7456,1.73,1.41,0.36,0.4056,0.9259,1,0
r009s063,0.8417,30.54,2.0,0.52,0.2656,0.8856,1,0
r009s064,0.8569,12.25,5.38,0.81,0.2231,0.8538,2,0
r009s065,0.5749,2.24,1.41,0.52,1.4792,0.855,1,0
r009s066,0.2262,109.51,104.0,16.37,0.8559,0.2648,5,4
r009s067,0.5444,53.24,44.11,6.79,1.4654,0.4545,3,0
r009s071,0.7771,6.4,2.24,0.63,0.3159,0.8235,1,0
r009s072,0.8416,9.11,4.47,0.77,0.2257,0.811,1,0
r009s073,0.6688,7.14,3.61,0.71,0.3995,0.7748,1,0
r009s074,0.3378,48.83,46.2,6.79,0.6653,0.3833,4,1
r009s075,0.5864,2.83,2.24,0.51,0.5194,0.7879,1,0
r009s076,0.766,1.0,1.0,0.24,0.2264,1.0,1,0
r009s077,0.8893,4.69,2.0,0.45,0.1394,0.8945,2,1
r009s078,0.5934,58.26,52.6,4.19,0.448,0.677,7,1
r009s079,0.4904,3.74,3.0,0.76,2.0781,0.661,1,0
r009s082,0.6585,1.41,1.0,0.37,0.0,0.974,1,0
r009s083,0.9218,13.75,2.0,0.44,0.0471,0.9009,1,0
r009s084,0.4422,6.78,5.0,0.98,2.5231,0.6151,1,0
r009s085,0.8071,81.69,7.52,4.24,0.1604,0.7768,3,0
r009s086,0.7184,44.77,41.12,5.89,0.4379,0.8081,2,0
r009s087,0.7031,3.74,2.24,0.55,0.0297,0.8502,2,0
r009s088,0.2084,46.83,23.87,8.35,0.8044,0.277,6,1
r009s089,0.9032,12.69,2.0,0.56,0.016,0.8909,3,0
r009s090,0.2162,36.35,24.15,7.82,0.4929,0.3037,9,6
r009s091,0.7347,5.38,3.0,0.84,0.7096,0.7517,1,0
r009s092,0.559,56.75,53.39,12.24,0.271,0.5056,6,5
r009s093,0.7342,4.58,2.24,0.49,0.3806,0.8391,2,0
r009s094,0.6071,43.18,39.16,5.36,0.2364,0.6763,9,3
r009s095,0.7815,2.0,1.41,0.28,0.5593,0.9352,1,0
r009s096,0.6309,22.56,13.49,1.94,0.1532,0.7085,7,0
r009s097,0.8506,1.41,1.0,0.22,0.3422,0.9919,1,0
r009s098,0.8151,3.74,2.0,0.64,0.1633,0.8208,2,1
r009s099,0.8333,8.77,1.0,0.48,0.0815,0.9502,4,1
r009s100,0.7126,1.73,1.41,0.32,0.3961,0.9261,2,0
r009s102,0.8596,47.0,39.69,3.17,0.0119,0.9083,3,1
r009s103,0.8285,46.02,19.55,2.66,0.2148,0.7461,4,2
r009s105,0.7799,37.36,3.0,1.23,0.3039,0.7987,5,2
r009s106,0.5505,7.07,6.16,1.28,0.1368,0.779,2,0
r009s107,0.7685,5.92,2.45,0.69,0.2578,0.809,1,0
r009s108,0.9189,9.9,2.24,0.75,0.1028,0.8281,1,0
r009s109,0.8429,77.49,2.24,1.97,0.136,0.8827,6,4
r009s110,0.6913,5.38,3.0,0.77,0.5547,0.7815,1,0
r009s111,0.7905,1.41,1.0,0.31,0.2826,0.9797,1,0
r009s113,0.4354,79.06,74.98,18.17,0.7093,0.4631,4,2
r009s114,0.6368,48.67,6.0,1.38,0.6042,0.7255,8,0
r009s115,0.7685,4.58,2.0,0.61,0.1452,0.843,1,0
r009s117,0.8687,1.41,1.0,0.24,0.1388,0.9973,2,0
r009s118,0.6296,10.34,5.66,1.08,0.2304,0.7767,1,0
r009s119,0.8545,2.24,1.0,0.24,0.2933,0.9834,1,0
r009s120,0.7147,7.35,3.74,0.7,0.2692,0.8492,2,0
r009s121,0.787,17.06,2.45,0.78,0.0071,0.8775,2,0
r009s122,0.7573,2.24,1.0,0.29,0.2241,0.957,1,0
r009s123,0.5176,43.7,11.36,2.49,1.0132,0.6093,9,2
r009s124,0.1531,48.52,44.14,16.57,6.3848,0.2503,5,1
r009s125,0.8148,20.42,4.47,1.04,0.0756,0.8957,4,1
r009s126,0.0734,62.3,55.94,20.13,2.4874,0.1131,9,4
r010s001,0.7968,4.69,2.0,0.57,0.2086,0.8622,1,0
r010s002,0.9116,8.12,1.0,0.36,0.0366,0.9589,2,0
r010s003,0.7292,11.66,5.1,1.27,0.4029,0.6314,2,0
r010s004,0.8523,1.73,1.0,0.27,0.2488,0.961,1,0
r010s005,0.656,30.64,21.75,3.48,0.2696,0.5834,1,0
r010s006,0.7837,5.1,2.0,0.53,0.1074,0.8554,1,0
r010s007,0.8666,9.0,1.73,0.49,0.2136,0.8994,1,0
r010s008,0.755,3.0,1.41,0.47,0.2229,0.9052,1,0
r010s009,0.7766,4.24,2.24,0.47,0.2948,0.8835,2,0
r010s010,0.62,3.61,2.24,0.71,0.6573,0.8041,3,0
r010s011,0.8236,4.24,1.41,0.31,0.1972,0.9446,1,0
r010s012,0.7436,5.1,2.45,0.56,0.2487,0.8797,2,0
r010s013,0.9015,5.83,1.0,0.28,0.1109,0.9594,2,1
r010s014,0.4049,9.06,6.2,1.3,2.8945,0.5158,3,0
r010s016,0.6341,10.05,6.4,1.34,0.2204,0.7283,2,0
r010s018,0.8473,3.61,1.41,0.38,0.1921,0.9332,1,0
r010s019,0.8632,1.41,1.0,0.21,0.1111,0.9909,2,0
r010s021,0.7757,7.0,2.0,0.55,0.0025,0.8906,2,0
r010s022,0.4847,3.0,2.24,0.68,1.6633,0.6985,2,0
r010s023,0.5845,2.83,1.41,0.53,1.4215,0.8498,2,0
r010s024,0.7824,2.45,1.41,0.37,0.1963,0.9334,4,0
r010s026,0.8359,1.41,1.0,0.31,0.3891,0.9809,1,0
r010s027,0.8256,7.0,1.41,0.44,0.248,0.9319,4,0
r010s028,0.7809,7.0,3.74,0.89,0.3266,0.7303,2,0
r010s029,0.8494,1.41,1.0,0.2,0.2137,0.9895,1,0
r010s032,0.8448,2.45,1.29,0.25,0.0731,0.9483,1,0
r011s001,0.7292,6.32,3.16,0.65,0.268,0.8239,2,0
r011s002,0.3511,15.3,6.78,2.17,0.6462,0.4913,2,0
r011s003,0.7335,3.61,2.45,0.47,0.6933,0.8524,1,0
r011s008,0.7988,5.1,2.24,0.47,0.1436,0.8787,2,0
r011s010,0.9103,2.24,1.0,0.27,0.1074,0.9705,1,0
r011s011,0.4082,1.73,1.41,0.48,2.9,0.7556,1,0
r011s012,0.7873,11.36,3.61,0.74,0.2388,0.8148,1,0
r011s013,0.6833,1.41,1.41,0.3,0.7907,0.9381,1,0
r011s014,0.8409,3.32,1.0,0.32,0.2168,0.9664,3,0
r011s015,0.8779,4.9,1.0,0.33,0.0882,0.9501,1,0
r011s016,0.8155,3.0,1.41,0.3,0.1962,0.9321,2,0
r011s017,0.8588,19.67,2.24,0.84,0.0268,0.9302,2,0
r011s018,0.8198,19.34,2.0,0.79,0.0081,0.9095,3,0
r011s019,0.863,3.0,1.0,0.3,0.0403,0.9521,1,0
r011s020,0.8879,3.61,1.0,0.32,0.0164,0.9671,3,0
r011s021,0.7863,1.41,1.0,0.29,0.2586,0.9845,1,0
r011s022,0.7703,2.83,1.0,0.33,0.4356,0.9536,3,0
r011s023,0.4129,11.92,8.4,1.4,0.7301,0.5741,3,1
r011s024,0.5824,5.92,4.24,1.18,0.5798,0.5447,1,0
r011s025,0.8803,2.83,1.41,0.36,0.1034,0.8975,1,0
r011s026,0.8661,1.0,1.0,0.17,0.1045,1.0,1,0
r011s027,0.8247,1.41,1.0,0.2,0.3095,0.9875,1,0
r011s028,0.801,63.88,1.0,0.83,0.4675,0.9815,2,0
r011s029,0.8673,15.17,2.24,0.59,0.0741,0.9191,3,0
r011s030,0.8233,6.32,2.24,0.59,0.08,0.861,3,0
r011s031,0.8015,4.47,2.24,0.36,0.2683,0.902,1,0
r011s032,0.8171,7.0,1.41,0.55,0.1917,0.9001,2,0
r011s033,0.8153,1.0,1.0,0.22,0.3788,1.0,1,0
r011s034,0.7403,7.28,4.12,0.75,0.2042,0.8238,1,0
r014s001,0.6875,3.0,1.73,0.45,0.0952,0.8662,2,0
r014s002,0.8889,1.0,1.0,0.15,0.0118,1.0,1,0
r014s004,0.3933,5.2,4.24,1.04,0.6573,0.5876,1,0
r014s007,0.7368,2.0,1.41,0.31,0.378,0.9027,1,0
r014s008,0.7373,3.16,1.41,0.32,0.338,0.8638,2,0
r014s010,0.679,23.96,1.73,0.75,0.4163,0.8509,3,0
r014s012,0.6644,4.12,2.45,0.49,0.3258,0.8481,2,0
r014s013,0.7126,3.74,2.6,0.44,0.1087,0.8837,1,0
r014s015,0.5207,87.21,85.91,10.56,0.648,0.7273,2,1
r015s001,0.7816,8.14,4.06,1.21,0.2504,0.5808,4,1
r015s002,0.8129,141.41,5.59,1.2,0.226,0.6698,6,5
r015s003,0.9164,89.26,4.03,1.33,0.044,0.6834,6,5
r015s004,0.8005,15.37,6.02,1.83,0.1131,0.4774,4,3
r015s005,0.6113,16.59,8.2,2.09,0.2364,0.4453,3,2
r015s006,0.8652,2.06,1.0,0.3,0.0684,0.9745,3,1
r015s007,0.7488,16.09,6.28,1.64,0.2494,0.4814,1,0
r015s008,0.8071,133.33,5.1,1.2,0.0265,0.6382,3,1
r015s009,0.8851,1.8,1.0,0.24,0.0073,0.9211,1,0
r015s010,0.7838,32.96,6.58,1.69,0.089,0.6147,4,0
r015s011,0.878,12.42,4.47,0.87,0.049,0.7706,5,4
r015s012,0.8196,15.41,2.35,0.64,0.3091,0.8532,8,0
r015s013,0.4859,7.43,5.32,1.04,0.6211,0.5977,2,0
r015s014,0.7024,9.01,5.92,0.91,0.4108,0.7275,4,1
r015s016,0.81,14.87,7.09,2.03,0.2384,0.5071,2,1
r015s017,0.8654,6.82,2.0,0.46,0.0518,0.8764,2,1
r015s018,0.7938,4.42,1.73,0.57,0.3332,0.8185,2,1
r015s019,0.6447,3.08,2.06,0.52,0.5115,0.7574,1,0
r015s022,0.8211,2.0,1.12,0.29,0.2592,0.938,1,0
r015s024,0.8254,17.5,8.6,2.17,0.2421,0.4958,1,0
r015s025,0.8264,8.67,3.35,0.55,0.1856,0.8607,1,0
r015s026,0.5853,10.74,5.7,1.8,0.3164,0.4673,2,0
r015s027,0.3146,12.97,8.44,3.08,0.3441,0.2794,4,2
r016s019,0.8886,2.0,1.0,0.28,0.0232,0.9797,1,0
r017s101,0.8905,3.74,1.0,0.27,0.0701,0.9211,2,0
r017s103,0.8394,6.4,3.0,0.94,0.1987,0.68,1,0
r017s104,0.6965,16.67,7.48,2.18,0.5859,0.4755,7,2
r017s105,0.8271,3.0,1.41,0.46,0.1495,0.9234,1,0
r017s106,0.8128,13.75,5.0,1.24,0.3743,0.712,3,0
r017s107,0.197,38.9,27.06,5.6,6.318,0.398,2,1
r017s108,0.6692,58.53,54.46,3.74,0.6452,0.8096,3,0
r017s109,0.8891,8.06,2.24,0.58,0.0089,0.8606,1,0
r017s110,0.88,13.15,3.74,0.95,0.0373,0.7368,3,2
r017s111,0.8916,2.24,1.0,0.29,0.0463,0.9352,1,0
r017s113,0.8745,18.14,10.2,2.03,0.2131,0.491,1,0
r017s116,0.8374,15.65,4.12,1.13,0.1682,0.6964,4,1
r017s117,0.8559,2.0,1.0,0.25,0.203,0.9343,1,0
r017s118,0.8263,1.73,1.0,0.31,0.1166,0.9639,1,0
r017s119,0.5982,51.09,6.0,2.43,0.3799,0.6165,9,6
r017s121,0.8062,13.3,3.61,1.02,0.1641,0.7126,4,2
r018s001,0.9013,5.39,2.0,0.54,0.0336,0.8888,1,0
r018s002,0.8737,7.68,3.0,0.75,0.0227,0.8074,1,0
r018s003,0.7725,5.0,2.0,0.53,0.4344,0.8763,2,0
r018s004,0.8624,34.94,5.39,1.24,0.044,0.789,1,0
r018s005,0.6606,37.85,35.07,6.09,0.4531,0.6413,3,2
r018s006,0.9093,8.31,3.0,0.75,0.0182,0.7544,1,0
r018s007,0.533,50.84,14.63,4.43,0.6085,0.35,2,1
r018s008,0.8628,12.25,2.83,0.69,0.0008,0.8444,2,0
r018s010,0.8745,3.16,1.0,0.24,0.1445,0.9591,1,0
r018s011,0.8274,12.53,5.39,1.58,0.0414,0.5392,1,0
r018s012,0.8469,10.77,2.24,0.7,0.0936,0.8395,1,0
r019s001,0.6397,4.19,2.86,0.61,0.2931,0.8127,1,0
r019s002,0.7092,2.94,1.4,0.49,0.4049,0.8996,2,0
r019s003,0.7773,3.0,1.38,0.44,0.23,0.9344,1,0
r019s004,0.8025,36.9,9.17,2.21,0.2992,0.5764,6,3
r019s005,0.3985,28.55,22.97,6.15,0.5152,0.4617,10,4
r019s006,0.6553,5.05,1.95,0.49,0.3362,0.8789,2,0
r019s007,0.7779,76.56,4.32,2.37,0.2703,0.8148,13,4
r019s008,0.7788,13.71,3.02,0.83,0.1966,0.8629,1,0
r019s009,0.8554,4.6,1.95,0.62,0.1832,0.8585,1,0
r019s010,0.7728,4.03,1.95,0.45,0.327,0.8622,1,0
r019s011,0.7811,12.95,3.68,1.1,0.34,0.6832,2,1
r019s012,0.8591,4.39,1.4,0.4,0.119,0.9235,4,0
r019s013,0.8434,26.74,2.96,0.79,0.0701,0.8614,7,3
r019s014,0.7069,14.18,9.68,1.22,0.3025,0.7867,6,2
r020s007,0.4173,38.48,29.38,5.24,0.2109,0.5122,15,2
r023s001,0.5851,53.48,39.71,9.57,0.2837,0.5582,5,3
