case_id,DSC_1,HD_1,HD95_1,ASSD_1,RVE_1,NSD_1,NLesions_1,MissedLesions_1
r001s001,0.8041,53.38,9.43,2.42,0.2105,0.5659,4,1
r001s002,0.9126,50.4,3.16,0.86,0.0096,0.8121,3,2
r001s003,0.7616,10.82,3.46,0.79,0.466,0.7916,2,0
r001s004,0.8475,9.27,3.74,0.94,0.1702,0.7662,3,1
r001s005,0.8364,12.04,2.83,0.69,0.2331,0.8297,1,0
r001s006,0.465,39.26,13.03,2.45,0.6225,0.5076,4,2
r001s007,0.7151,7.28,2.0,0.72,0.6594,0.8641,2,0
r001s008,0.4814,37.8,4.53,1.44,0.6619,0.5452,4,0
r001s009,0.5197,12.69,6.63,1.7,1.4667,0.5402,7,1
r001s010,0.8626,8.12,4.12,1.13,0.1482,0.6814,2,1
r001s011,0.8848,7.87,1.41,0.41,0.0316,0.9239,2,0
r001s012,0.8513,11.36,3.32,0.78,0.1433,0.8433,1,0
r001s013,0.5141,58.25,8.19,3.01,0.6317,0.4099,4,2
r001s014,0.6556,32.65,14.7,2.29,0.4926,0.6296,1,0
r001s015,0.9064,6.56,1.41,0.36,0.0911,0.9391,2,0
r001s016,0.6046,35.01,5.74,1.6,0.4841,0.6289,7,4
r001s017,0.5484,16.4,11.18,2.38,0.2779,0.554,3,0
r001s018,0.8598,1.41,1.0,0.22,0.3261,0.9874,1,0
r001s019,0.8488,48.09,4.36,1.01,0.0964,0.7777,3,2
r001s020,0.837,23.83,9.0,1.63,0.0476,0.7138,1,0
r001s021,0.7742,29.41,3.16,1.16,0.0672,0.879,4,1
r001s022,0.8608,1.0,1.0,0.15,0.1351,1.0,1,0
r001s023,0.381,2.0,1.41,0.53,3.25,0.7692,1,0
r001s024,0.8997,1.41,1.0,0.18,0.1211,0.9976,1,0
r001s025,0.8936,2.83,1.41,0.31,0.0883,0.938,1,0
r001s026,0.8719,3.16,1.41,0.37,0.0171,0.9233,2,0
r001s027,0.8609,3.61,1.0,0.26,0.117,0.9829,2,0
r001s028,0.9012,1.41,1.0,0.14,0.0506,0.9972,1,0
r001s029,0.7765,8.77,2.0,0.6,0.25,0.8977,1,0
r001s030,0.6768,61.72,7.21,1.8,0.4349,0.6678,4,2
r001s031,0.8293,14.73,7.0,1.39,0.2055,0.6909,1,0
r001s032,0.5892,19.13,7.81,1.6,0.5098,0.6466,4,0
r001s033,0.8823,50.7,3.46,0.8,0.1402,0.8368,2,1
r001s034,0.8001,5.83,2.83,0.52,0.1936,0.8776,1,0
r001s036,0.8707,67.65,3.0,2.82,0.0264,0.8803,3,2
r001s037,0.6616,65.64,6.16,1.8,0.1852,0.6562,5,2
r001s038,0.7749,2.24,1.0,0.28,0.2848,0.9671,2,0
r001s039,0.7733,4.12,2.24,0.58,0.2253,0.8587,1,0
r001s040,0.0041,52.81,18.4,10.86,0.5209,0.0196,2,1
r002s001,0.8488,7.35,2.24,0.6,0.0428,0.8694,1,0
r002s002,0.9044,28.53,2.0,0.66,0.1405,0.9209,4,2
r002s003,0.8234,12.88,4.24,0.76,0.0307,0.8809,8,1
r002s004,0.9259,19.0,1.0,0.43,0.0884,0.9779,2,1
r002s005,0.9244,3.0,1.0,0.23,0.04,0.9775,1,0
r002s006,0.8473,10.05,2.83,0.59,0.1826,0.8792,2,0
r002s007,0.9158,4.0,1.0,0.28,0.0023,0.9653,1,0
r002s008,0.8912,8.12,3.16,0.92,0.0238,0.7422,1,0
r002s009,0.9175,28.57,1.73,0.68,0.0252,0.9147,1,0
r002s010,0.9483,9.0,1.73,0.43,0.012,0.9173,1,0
r002s011,0.8481,31.59,6.4,1.46,0.0263,0.8521,4,0
r002s012,0.8535,12.57,3.16,0.69,0.0893,0.8735,4,1
r003s001,0.8611,10.77,3.0,0.64,0.1873,0.8342,1,0
r003s002,0.5554,9.22,5.39,1.42,0.6042,0.5146,1,0
r003s003,0.9564,12.21,2.0,0.45,0.0356,0.9164,1,0
r003s004,0.8698,13.04,6.08,1.26,0.2172,0.731,1,0
r003s005,0.9571,6.4,1.41,0.39,0.0292,0.9356,1,0
r003s006,0.896,1.41,1.0,0.18,0.044,0.9947,1,0
r003s007,0.8444,4.24,1.41,0.37,0.1392,0.9267,1,0
r003s008,0.9114,13.45,3.0,0.89,0.0199,0.7706,1,0
r003s009,0.9064,39.46,2.24,0.64,0.1473,0.9048,2,1
r003s010,0.7273,5.2,3.16,0.6,0.0161,0.872,3,0
r003s011,0.8733,15.65,2.45,0.57,0.0767,0.8885,1,0
r003s012,0.7935,8.77,4.0,0.99,0.3014,0.7013,1,0
r003s013,0.8692,2.83,1.0,0.45,0.2724,0.9644,1,0
r003s014,0.8821,8.06,2.0,0.45,0.0833,0.9113,1,0
r003s015,0.8317,10.44,2.83,0.68,0.2261,0.7943,3,0
r004s001,0.8811,20.27,2.0,0.68,0.0568,0.8917,2,0
r004s002,0.8808,35.36,8.66,1.62,0.1438,0.8155,2,0
r004s003,0.8586,17.66,2.24,0.61,0.1803,0.8758,3,1
r004s004,0.9555,15.94,2.0,0.54,0.0522,0.888,4,3
r004s005,0.7296,50.41,12.57,2.7,0.5536,0.712,4,3
r004s006,0.8793,5.48,1.41,0.41,0.0367,0.9301,2,0
r004s007,0.5849,57.8,9.06,2.43,0.8311,0.6176,12,8
