case_id,DSC_1,HD_1,HD95_1,ASSD_1,RVE_1,NSD_1,NLesions_1,MissedLesions_1
r048s025,0.8992,10.2,4.12,1.11,0.1781,0.707,1,0
r048s026,0.8702,61.81,3.0,1.54,0.0078,0.8699,1,0
r048s027,0.7819,10.49,5.39,0.85,0.0769,0.8281,2,1
r048s028,0.9105,35.41,5.1,1.38,0.039,0.8546,1,0
r048s029,0.4172,5.48,3.74,0.86,0.7328,0.5741,1,0
r048s030,0.0,74.57,73.35,69.23,0.7305,0.0,1,1
r048s031,0.0,96.74,94.93,56.91,2.0,0.0,2,2
r048s032,0.3067,39.74,31.7,10.14,0.7252,0.3576,1,0
r048s033,0.7816,8.6,6.66,0.95,0.0797,0.862,1,0
r048s034,0.4146,36.48,11.18,3.7,0.6474,0.4885,6,1
r048s035,0.6846,49.67,37.65,5.69,0.2776,0.6804,6,3
r048s036,0.5869,18.47,11.45,1.94,0.4904,0.6511,1,0
r048s037,0.9375,13.34,1.41,0.48,0.0452,0.9262,1,0
r048s038,0.6525,22.93,14.35,1.96,0.8921,0.7282,2,0
r048s039,0.7798,31.24,27.75,3.22,0.1692,0.8141,3,2
r048s040,0.9041,11.75,1.41,0.47,0.0205,0.9245,1,0
r048s041,0.8341,6.4,2.24,0.57,0.068,0.8551,1,0
r048s042,0.8413,11.79,3.0,0.6,0.1016,0.9172,3,1
r048s043,0.3328,39.37,35.86,11.14,0.7931,0.378,2,1
r048s044,0.6578,82.89,77.21,15.29,0.7438,0.6875,4,0
r049s003,0.0,65.39,64.2,60.59,3.9167,0.0,1,1
r049s004,0.4143,58.83,57.09,16.95,1.6912,0.4241,1,0
r049s005,0.0,93.31,91.42,58.07,0.7448,0.0,1,1
r049s006,0.7844,55.48,5.34,1.69,0.2193,0.4341,6,2
r049s007,0.721,11.81,9.0,1.12,0.2117,0.6113,4,1
r049s008,0.7265,4.5,2.12,0.61,0.6114,0.6151,2,0
r049s009,0.3048,63.6,63.04,20.72,2.5652,0.32,1,0
r049s010,0.0,75.95,72.32,63.23,4.3448,0.0,1,1
